#Macho_id CAR_Sigma_B CAR_mean_B CAR_tau_B max_loglik_B fit_B CAR_Sigma_R CAR_mean_R CAR_Tau_R max_loglik_R fit_R Sigma_B Eta_B Con_B stetson_L_B CuSum_B B-R_B Period_B Period_SNR_B stetson_K_AC_B N_above_4_B N_below_4_B label Sigma_R Eta_R Con_R stetson_L_R CuSum_R B-R_R Period_R Period_SNR_R stetson_K_AC_R N_above_4_R N_below_4_R label
11.9358.200 -2.072304e-02 -6.103328e+00 1.167469e+01 -1.739017e+03 9.569566e+00 -2.364920e-02 -6.153506e+00 1.002741e+01 -1.687462e+03 1.207416e+01 0.0205033443853 0.444646291175 0.0790790790791 0.00910746733256 0.382221168307 0.24765917603 0.000952848044004 0.0834171827418 0.784974554083 0.386313465784 0.212249208025 4 0.0317464810127 0.341446415363 0.00619862814061 0.0107017018046 0.553112226159 0.24765917603 0.000987999910896 0.215327804634 0.796279497594 0.395348837209 0.304794520548 4
11.9714.184 -7.515278e-03 -5.732413e+00 4.151345e+01 -1.837483e+03 5.356614e+00 -2.618923e-02 -5.851766e+00 1.029572e+01 -1.484440e+03 1.079962e+01 0.0213679934196 0.549374657691 0.0118574108818 0.00758133345717 0.281997892372 0.263576779026 0.575402371783 0.0834475416314 0.634543263592 0.158940397351 0.0359028511088 4 0.0418603316936 0.511171928174 0.0115636271365 0.00828419978553 0.22754432737 0.263576779026 0.596675482314 0.097624384735 0.70024348538 0.139534883721 0.0547945205479 4
11.9720.68 2.547460e-02 -7.593375e+00 5.915892e+00 -2.141883e+03 6.786846e+01 -1.257505e-02 -7.532953e+00 1.896454e+01 -1.102045e+03 6.378896e+01 0.0121434158171 0.200599486049 0.0173791889712 0.0248203737403 0.56521012559 0.221676029963 0.719279427213 0.269766619177 0.654954499801 0.492273730684 0.261879619852 4 0.0169769711962 0.14592868215 0.0386651044402 0.0252609460375 0.412102292532 0.221676029963 0.000437928179624 0.169055373999 0.703630722299 0.25322997416 0.108447488584 4
12.10561.1161 -3.937604e-03 -6.313528e+00 1.077583e+03 -1.619183e+03 5.920437e+00 -2.902132e-03 -6.186556e+00 3.190219e+09 -1.641506e+03 5.553673e+00 0.0289677999336 0.2312426902 0.029145914038 0.0158525439047 0.595770842925 0.205758426966 0.000952058466278 0.22219878209 0.853763294488 0.812362030905 0.32206969377 4 0.0641344730334 0.0864019373292 0.376179245283 0.0163614744135 0.635195001612 0.205758426966 0.000987167914292 0.219382161864 0.852306102044 0.78811369509 0.335616438356 4
12.10684.267 1.076234e-01 -5.923490e+00 1.343341e+00 -8.579570e+02 2.856512e+02 -4.315603e-03 -5.854369e+00 1.324131e+03 -1.525816e+03 5.955788e+00 0.035181807475 0.555778694172 0.0 0.0142221491276 0.479879496923 0.220271535581 0.00095283691249 0.120459581397 0.954130577666 0.41059602649 0.42555438226 4 0.0724007047086 0.0950270937253 0.0149166491314 0.0177736865809 0.744071380722 0.220271535581 0.000987963343919 0.305066745594 0.979368085055 0.617571059432 0.541095890411 4
12.10926.76 -2.811295e-02 -7.124615e+00 7.215573e+00 -1.597391e+03 4.959726e+01 1.978324e+00 -7.035868e+00 4.189688e-03 -8.406035e+02 1.240299e+08 0.0135451674659 0.574795755023 0.0 0.0110091556692 0.407328245117 0.214419475655 0.00095283691249 0.0871000329017 0.88386644209 0.487858719647 0.201689545935 4 0.0426104070608 0.674380676234 0.0 0.00667837380785 0.286783232401 0.214419475655 0.000987963343919 0.0996292964479 0.781756466451 0.0516795865633 0.0125570776256 4
13.6689.2365 -2.026398e-02 -6.627601e+00 3.361606e+01 -1.460599e+03 1.377560e+01 -4.896242e-03 -6.345355e+00 6.608145e+02 -7.829411e+02 6.694008e+00 0.0276846929945 0.157970422126 0.288101094055 0.0137782229838 0.625740932661 0.169007490637 0.000952827013758 0.278427405806 0.931730148721 0.584988962472 0.501583949314 4 0.0343445019039 0.193946657066 0.236034036256 0.015006859414 0.41758584918 0.169007490637 0.000987980065925 0.161865308072 0.915102928268 0.289405684755 0.195205479452 4
13.6931.2479 -1.477174e-02 -6.893553e+00 2.503868e+01 -1.930589e+03 1.287916e+01 -1.677604e-02 -6.567582e+00 2.774415e+01 -8.181759e+02 2.745222e+01 0.0173396936614 0.189326748561 0.299519757351 0.0134380923483 0.638017236231 0.158239700375 0.000952805393754 0.2030193578 0.829598916581 0.448123620309 0.498416050686 4 0.0327206740321 0.178942661806 0.25452924059 0.013602936054 0.473338336403 0.158239700375 0.000987980065925 0.183943968946 0.896794004708 0.22480620155 0.240867579909 4
14.8493.39 -1.521915e-02 -7.833939e+00 6.684981e+01 -2.015647e+03 3.706845e+01 -7.418927e-03 -7.598365e+00 2.135900e+02 -1.266215e+03 1.516768e+01 0.0257290306178 0.0335426526948 0.226341378712 0.0589464442484 0.792381139084 0.18047752809 0.000952786549584 0.35672792643 0.847916173475 0.467991169978 0.499472016895 4 0.0342805735516 0.0309313302316 0.238744239178 0.0602786704727 0.59070635537 0.18047752809 0.000985101907003 0.262584421546 0.830225375068 0.346253229974 0.22602739726 4
14.8622.3551 -5.190256e-03 -6.808910e+00 1.626070e+02 -2.145985e+03 6.866357e+00 -3.020317e-02 -6.312251e+00 1.020761e+01 -1.335499e+03 1.838386e+01 0.0155934915593 0.157179254668 0.347837347837 0.012132763114 0.619136935866 0.119147940075 0.000952790493297 0.199480183314 0.643964022216 0.273730684327 0.383315733897 4 0.0366748984129 0.440549555477 0.0278329152579 0.0124878300867 0.521407985325 0.119147940075 0.000987984489678 0.147694580579 0.816977761998 0.341085271318 0.227168949772 4
14.8863.660 -2.050565e-02 -6.788524e+00 2.328034e+01 -1.671539e+03 1.956124e+01 4.013656e-02 -6.528255e+00 1.326967e+01 -1.202170e+03 4.512447e+01 0.023671387981 0.158668935479 0.116076058773 0.0251509179098 0.672324432605 0.17579588015 0.000952786549584 0.285782437363 0.955208418471 0.556291390728 0.524815205913 4 0.0548697923336 0.16875135681 0.0069743544896 0.027732046828 0.713021686732 0.17579588015 0.000987984489678 0.306773553161 0.999361421892 0.671834625323 0.530821917808 4
14.9587.87 -3.582803e-02 -7.306588e+00 4.583970e+00 -1.532262e+03 1.184916e+02 -2.370718e-02 -7.140209e+00 8.536724e+00 -8.897341e+02 2.511746e+02 0.0154577563549 0.297795653106 0.0348847478583 0.0208546120927 0.376541560868 0.19686329588 0.574938188504 0.0853926805026 0.620094798175 0.326710816777 0.205913410771 4 0.0215568798764 0.247037057832 0.0824502455415 0.0216058068127 0.302817978252 0.19686329588 0.000987160359198 0.075342440532 0.762741469473 0.139534883721 0.0696347031963 4
17.2102.357 -8.203409e-03 -5.642367e+00 1.667259e+02 -7.458085e+02 6.839663e+00 -3.078919e-03 -5.170540e+00 6.871207e+02 -4.038830e+02 4.416385e+00 0.029719293139 0.348069315379 0.263610818405 0.00597695193926 0.373493699312 0.122425093633 0.00095205270025 0.0948072542985 0.711430092976 0.176600441501 0.209081309398 4 0.0482167536888 0.464434486899 0.0922431865828 0.00690166994507 0.225866620622 0.122425093633 0.000984272800899 0.0380973951852 0.72759587786 0.0697674418605 0.0799086757991 4
17.2105.71 -5.945043e-03 -7.070414e+00 9.177480e+01 -1.071097e+03 1.008812e+01 -1.123869e-02 -6.791039e+00 5.233013e+01 -8.401065e+02 1.868627e+01 0.0111676486287 0.178647758805 0.0274973894883 0.0211264852903 0.495333848184 0.168539325843 0.00095204156777 0.175320956175 0.897816897967 0.426048565121 0.200633579725 4 0.0298974863877 0.173578563498 0.0133752620545 0.0220101389552 0.504476908648 0.168539325843 0.000987161935089 0.210437305632 0.923834865181 0.514211886305 0.205479452055 4
